gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
RNF208,ENSG00000212864,727800,Q9H0X6,RING,RING,0.0567,0.4,myeloid DC,dendritic cells,1.7876,0.8879,0.7153,0.7705
FBXO31,ENSG00000103264,79791,Q5XUX0,CRL1,CRL1 substrate receptor (F-box protein),2.6333,4.4,Memory CD4 T-cell Th1/Th17,T-cells,0.7518,0.4154,1.0941,0.7597
TRIM64C,ENSG00000214891,646754,A6NLI5,RING,RING,0.01,0.3,basophil,granulocytes,2.0,1.0,0.359,0.757
RNF8,ENSG00000112130,9025,O76064,RING,RING,7.3833,11.1,Vd2 gdTCR,T-cells,0.6067,0.3464,0.6725,0.7559
PCGF3,ENSG00000185619,10336,Q3KNV8,RING,RING,50.32,68.1,plasmacytoid DC,dendritic cells,0.4534,0.2701,0.2385,0.7483
LTN1,ENSG00000198862,26046,O94822,RING,RING,25.5933,35.6,basophil,granulocytes,0.494,0.2908,0.2714,0.7461
FBXO34,ENSG00000178974,55030,Q9NWN3,CRL1,CRL1 substrate receptor (F-box protein),49.2167,66.4,Vd2 gdTCR,T-cells,0.4487,0.2677,0.2894,0.7297
RNF152,ENSG00000176641,220441,Q8N8N0,RING,RING,0.59,1.3,neutrophil,granulocytes,1.0729,0.565,0.3829,0.7284
PRAMEF9,ENSG00000204505,343070,P0DUQ2,CRL2,CRL2 substrate receptor (BC-CUL2-box),0.1733,0.6,basophil,granulocytes,1.4365,0.7356,0.6275,0.7166
ATG5,ENSG00000057663,9474,Q9H1Y0,atypical,"Atypical E3 (catalytic site formed from multiple interfaces), Ubl E3",20.5033,28.6,Memory CD4 T-cell Th1/Th17,T-cells,0.4979,0.2929,0.3242,0.7126
RFWD3,ENSG00000168411,55159,Q6PCD5,RING,RING,19.41,27.1,basophil,granulocytes,0.4991,0.2935,0.3126,0.7051
TRIM60,ENSG00000176979,166655,Q495X7,RING,RING,0.2933,0.8,neutrophil,granulocytes,1.2597,0.6552,0.6971,0.6999
GAN,ENSG00000261609,8139,Q9H2C0,CRL3,CRL3 substrate receptor (BTB protein),3.3333,5.3,MAIT T-cell,T-cells,0.6821,0.3839,0.6238,0.6953
BTRC,ENSG00000166167,8945,Q9Y297,CRL1,CRL1 substrate receptor (F-box protein),12.55,17.8,Terminal effector memory CD4 T-cell,T-cells,0.5216,0.3051,0.4141,0.6736
